COVID-19 Vaccinations in the United States
Date generated: Sat May 22 2021 13:48:18 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4236160,N/A,N/A,3432929,N/A,3391341,N/A,2035189,N/A,2005113,N/A,1410639,N/A,1399511,N/A,2286960,1764000,185200,0,105533,1491546,1835451,399,568746,739276,102617,0,568688,728232,102591,0,1308022,N/A,2005113,N/A,0,1296920,0,2035189,171460,0,123184,0,43845,74936,4403,0,304456,0,0,2032743,0,1410535,0,568724,739204,102607,0,3430388,0,0
Delaware,1172915,120452,152289,883409,90721,864579,112255,503642,51.7,491211,63.8,392182,40.3,387613,50.3,620295,489620,63000,0,38097,356623,488406,283,146140,208334,37574,134,146071,203861,37547,134,354608,51.7,491211,63.8,36.4,350066,45.5,503642,170718,90.4,147303,78,60217,79404,7596,86,318604,168657,620899,503513,60,392161,46.7,146138,208321,37568,134,883258,105174,139665
Florida,23115935,107627,134022,17868244,83194,17630214,102217,10078705,46.9,9906957,57.4,7907005,36.8,7843243,45.5,12062115,9454320,1599500,0,723955,7614308,9497542,32439,3184984,3997891,713602,10528,3184213,3935263,713246,10521,7193403,46.9,9906957,57.4,33.5,7129997,41.3,10078705,3907966,86.9,3302175,73.4,1650012,1491878,152444,7841,7490944,166564,513992,10072363,53.9,7906196,42.3,3184411,3997820,713437,10528,17861173,95535,123641
Federated States of Micronesia,77800,75065,96237,41022,39580,40997,50713,23703,22.9,23682,29.3,18433,17.8,18428,22.8,0,67600,10200,0,1135,39887,0,0,17268,32,1133,0,17264,32,1132,0,17300,22.9,23682,29.3,16.7,17296,21.4,23703,2033,11.5,1745,9.9,1589,5,151,0,3613,20506,441569,23696,26.8,18431,20.8,17267,32,1132,0,41014,46339,87901
Georgia,10447805,98402,128770,7256339,68344,7134285,87931,4068991,38.3,3982161,49.1,3208104,30.2,3172619,39.1,5433285,4433820,580700,0,183601,3252205,3819954,579,1404362,1623105,180304,333,1404014,1588207,180072,326,3027800,38.3,3982161,49.1,28.5,2992547,36.9,4068991,1189154,78.4,1017199,67.1,570918,422926,23189,166,2278177,150181,688736,4067589,45.3,3207928,35.7,1404326,1623048,180221,333,7254847,80716,116240
Guam,207370,125097,160380,152222,91828,147384,113987,85017,51.3,82147,63.5,68681,41.4,66713,51.6,122070,74200,11100,0,2280,59168,90774,0,24243,42153,2285,0,24237,40191,2285,0,66396,51.3,82147,63.5,40.1,64428,49.8,85017,14280,50.7,12597,44.7,5299,7130,168,0,26869,95344,735850,85010,60.1,68680,48.5,24242,42153,2285,0,152214,107525,146487
Hawaii,1755130,123961,157269,1525562,107747,1481530,132753,905873,64,870133,78,647759,45.7,638793,57.2,989430,686200,79500,0,29937,546076,855789,93760,229561,369905,30222,18071,229225,361388,30126,18054,617537,64,870133,78,43.6,608667,54.5,905873,261130,97.3,216724,80.7,90499,117655,7161,1409,471000,175453,653806,903803,74.6,647602,53.5,229519,369827,30196,18060,1524039,125838,144919
Iowa,3197385,101341,131676,2736987,86749,2682602,110476,1502575,47.6,1463601,60.3,1320401,41.9,1305536,53.8,1658085,1361100,178200,0,107399,1214297,1415169,122,573060,641927,105350,64,572964,627211,105297,64,1215051,47.6,1463601,60.3,38.5,1200239,49.4,1502575,480532,86.9,455072,82.3,244298,201330,9398,46,931513,168461,578237,1502539,56.1,1320390,49.3,573054,641924,105348,64,2736970,102268,119471
Idaho,1565975,87628,116963,1198537,67067,1198456,89513,651954,36.5,651672,48.7,562884,31.5,562805,42,800475,667500,98000,0,37283,529108,631486,660,238017,287502,37164,201,238008,287445,37152,200,525720,36.5,651672,48.7,29.4,525653,39.3,651954,227672,78.3,211235,72.7,98815,104568,7769,83,437272,150436,538747,651939,43.6,562873,37.6,238015,287500,37157,201,1198518,80147,104719
Indian Health Svc,1716875,82431,N/A,1336268,64157,1294599,N/A,751673,36.1,724886,N/A,598465,28.7,583631,N/A,728715,914360,73800,0,21766,741998,572504,0,323137,253726,21602,0,322941,239122,21568,0,576863,36.1,724886,N/A,27.7,562063,0,751673,147399,0,120866,0,69658,48892,2316,0,268969,0,0,751402,0,598350,0,323073,253687,21590,0,1335864,0,0
Illinois,13624835,107521,138268,11039696,87120,10748260,109076,6603486,52.1,6380863,64.8,4793235,37.8,4717080,47.9,7275255,5537880,811700,0,367252,4570437,6095080,6927,1880535,2542607,367767,2326,1877072,2471522,366171,2315,4425468,52.1,6380863,64.8,34.9,4350909,44.2,6603486,1774243,86.8,1419297,69.5,657565,705021,55360,1351,3147790,154059,666828,6597062,60.9,4793150,44.2,1880496,2542583,367745,2326,11033182,101803,125716
Indiana,6199020,92080,120037,4884071,72548,4792728,92806,2706838,40.2,2641804,51.2,2262150,33.6,2239909,43.4,3309540,2477880,411600,0,160595,2006626,2705661,11189,904555,1195469,158466,3660,904434,1173445,158373,3657,2103684,40.2,2641804,51.2,31.2,2081536,40.3,2706838,871786,80.3,819589,75.5,409607,388177,19636,2169,1701583,156721,570947,2706705,47.4,2262120,39.7,904547,1195460,158453,3660,4883933,85607,108659
Kansas,2923755,100358,132113,2245391,77073,2209939,99859,1320748,45.3,1293311,58.4,1078293,37,1065712,48.2,1469715,1286840,167200,0,68564,1019001,1157215,611,467551,541985,68556,201,467431,529577,68504,200,1009737,45.3,1293311,58.4,34.7,997208,45.1,1320748,426691,89.7,360565,75.8,175469,172420,12564,112,757098,159226,614897,1320650,53.9,1078275,44,467544,541979,68551,201,2245285,91581,119254
Kentucky,4234215,94775,122207,3506028,78475,3448347,99525,1988428,44.5,1947514,56.2,1652655,37,1636074,47.2,2135835,1845580,252800,0,132943,1570239,1802464,382,702717,819290,130291,357,702619,802873,130226,356,1522364,44.5,1947514,56.2,34.1,1505848,43.5,1988428,622642,83,551701,73.5,251421,270685,29376,219,1130596,150633,564138,1988155,52.2,1652626,43.4,702710,819283,130276,357,3505045,92089,111246
Louisiana,3834500,82484,107675,2987625,64267,2956743,83027,1612101,34.7,1591295,44.7,1402829,30.2,1393006,39.1,1928940,1669360,236200,0,101046,1403073,1482477,1029,630760,674930,96624,515,630597,665349,96547,513,1306205,34.7,1591295,44.7,28.1,1296459,36.4,1612101,564498,76.2,528743,71.4,253335,258422,16879,107,1100226,148474,517461,1611996,41.1,1402799,35.8,630753,674923,96608,515,2987501,76147,97736
Massachusetts,8935720,129644,161303,7553356,109588,7337700,132457,4398862,63.8,4237219,76.5,3374820,49,3319602,59.9,4901520,3608600,425600,0,246948,3102447,4203826,135,1302369,1823972,248445,34,1300240,1771689,247641,32,3126375,63.8,4237219,76.5,45.4,3071961,55.5,4398862,1097676,93.9,957076,81.8,435430,462853,58778,15,1995884,170686,764173,4394607,73,3374797,56.1,1302363,1823960,248440,34,7549110,125468,148514
Maryland,7542560,124759,160106,5760087,95276,5597963,118828,3305995,54.7,3186230,67.6,2676633,44.3,2635537,55.9,4134780,2980380,427400,0,223132,2358869,3173766,4320,1047674,1411375,216328,1256,1047493,1370566,216229,1249,2460305,54.7,3186230,67.6,40.7,2419308,51.4,3305995,838832,87.4,762156,79.4,372607,345167,43918,464,1546058,161149,786178,3305762,64,2676576,51.8,1047651,1411359,216310,1256,5759861,111563,146092
Maine,1722040,128108,157211,1409051,104824,1376719,125685,817679,60.8,793118,72.4,689120,51.3,681383,62.2,875940,747700,98400,0,90619,610336,707845,251,272934,325728,90389,69,272900,318064,90355,64,598731,60.8,793118,72.4,44.5,591028,54,817679,264698,92.8,247612,86.8,112691,115042,19860,19,490617,171986,603663,817611,69,689097,58.2,272931,325725,90372,69,1408976,118907,145328
Marshall Islands,51300,87823,112594,29605,50682,29538,64830,15995,27.4,15947,35,13704,23.5,13683,30,0,40500,10800,0,126,29479,0,0,13569,6,129,0,13549,5,129,0,13575,27.4,15947,35,23.2,13554,29.7,15995,965,9.7,825,8.3,816,0,9,0,1781,17936,516616,15979,32,13697,27.5,13562,6,129,0,29582,59302,102839
Michigan,10869770,108841,138593,8305925,83169,8118134,103509,4687194,46.9,4553633,58.1,3987921,39.9,3932028,50.1,5672550,4569620,627600,0,277343,3496074,4531208,1300,1602047,2102965,282330,579,1601704,2047556,282192,576,3705591,46.9,4553633,58.1,37.1,3649836,46.5,4687194,1449568,82.1,1343384,76.1,673035,616426,53532,391,2713276,153692,615711,4686987,54.5,3987876,46.4,1602030,2102950,282318,578,8305697,96634,126466
Minnesota,6035520,107020,139180,5147830,91280,5008997,115508,2946856,52.3,2847429,65.7,2442788,43.3,2403193,55.4,3281460,2445160,308900,0,224881,2104505,2818139,305,945004,1270806,226884,94,944251,1232194,226656,92,2215904,52.3,2847429,65.7,39.3,2176537,50.2,2946856,823644,89.5,760373,82.6,321060,398046,41240,27,1528984,166125,655762,2943612,61.6,2442747,51.1,944996,1270791,226866,94,5144534,107669,126317
Missouri,5786515,94282,121391,4526183,73747,4447457,93300,2506098,40.8,2451850,51.4,2035888,33.2,2015784,42.3,3104595,2379320,302600,0,139796,1771280,2614732,375,778671,1116834,140320,63,778488,1097038,140197,61,1895568,40.8,2451850,51.4,30.9,1875587,39.3,2506098,827917,78,728026,68.5,332969,367134,27895,28,1567531,147597,544851,2505847,47.9,2035861,38.9,778662,1116827,140309,63,4525912,86443,110520
Northern Mariana Islands,72330,127158,163023,45966,80809,44586,100491,24778,43.6,23864,53.8,21384,37.6,20919,47.1,49530,20200,2600,0,184,6331,39451,0,2714,18481,189,0,2714,18016,189,0,21195,43.6,23864,53.8,37.3,20730,46.7,24778,2571,26.6,2404,24.9,376,1978,50,0,4926,50941,747983,24778,51,21384,44,2714,18481,189,0,45966,94627,148901
Mississippi,2562535,86102,112512,1728335,58073,1714328,75270,987315,33.2,977440,42.9,787599,26.5,783299,34.4,1266135,1136500,159900,0,49472,821898,856076,889,365319,373787,48464,29,365211,369634,48425,29,739135,33.2,977440,42.9,24.8,734874,32.3,987315,361239,74.2,313214,64.4,166343,133821,13040,10,656453,134880,526520,987249,39.2,787582,31.2,365315,373781,48457,29,1728265,68543,101630
Montana,1064705,99619,126722,841159,78703,826145,98328,468993,43.9,458537,54.6,395494,37,391004,46.5,524745,472260,67700,0,28398,391151,421349,261,177779,189880,27758,77,177709,185475,27743,77,367736,43.9,458537,54.6,34.4,363261,43.2,468993,165094,80,150042,72.7,72746,70881,6372,43,308229,149309,515753,468930,51.1,395477,43.1,177766,189879,27755,77,841074,91660,116032
North Carolina,11004830,104927,134412,7900165,75325,7734075,94463,4418989,42.1,4304000,52.6,3655309,34.9,3604216,44,5844930,4543400,616500,0,263250,3246641,4389945,329,1423615,1971451,260208,35,1421740,1923169,259272,35,3395101,42.1,4304000,52.6,32.4,3344944,40.9,4418989,1373559,78.4,1233510,70.4,579363,625580,28542,25,2626849,150012,628455,4415663,49.1,3654706,40.7,1423533,1970946,260192,35,7896267,87878,122473
North Dakota,676050,88713,116182,599591,78680,589773,101355,313384,41.1,307598,52.9,271413,35.6,268299,46.1,337350,303200,35500,0,24229,261551,313811,0,114523,135422,21467,1,114396,132517,21385,1,249946,41.1,307598,52.9,32.8,246914,42.4,313384,98385,82.1,87017,72.6,43068,40872,3077,0,190547,158995,564104,313210,49.2,271404,42.6,114519,135419,21465,1,599390,94059,106089
Nebraska,1963980,101529,134673,1627690,84144,1595806,109427,899003,46.5,877048,60.1,780712,40.4,770594,52.8,1067820,791860,104300,0,58403,668251,898165,2871,305769,415404,58708,831,305691,405401,58674,828,722004,46.5,877048,60.1,37.3,711920,48.8,899003,267608,85.6,248162,79.4,120153,122949,4471,589,519273,166190,628558,898826,55.6,780670,48.3,305753,415391,58695,831,1627470,100622,121428
New Hampshire,1610365,118434,145806,1332600,98006,1310988,118700,867505,63.8,849866,76.9,555472,40.9,552716,50,833625,665140,111600,0,59287,550838,722435,40,217617,277934,59902,19,217459,275361,59877,19,495570,63.8,849866,76.9,36.4,492839,44.6,867505,251966,99.3,206981,81.5,90074,104064,12829,14,432037,170184,634342,867148,72.3,555336,46.3,217533,277888,59896,19,1332103,111141,134357
New Jersey,10652665,119933,153417,8666138,97568,8454187,121755,5128880,57.7,4974161,71.6,4101787,46.2,4042641,58.2,5672745,4391420,588500,0,333026,3680489,4652148,475,1620538,2145610,335607,32,1620298,2086848,335466,29,3766180,57.7,4974161,71.6,42.4,3707175,53.4,5128880,1313612,89,1152524,78.1,541436,537014,74059,15,2345120,158934,721953,5128361,67.3,4101719,53.8,1620525,2145598,335564,32,8665618,113746,139829
New Mexico,2215315,105651,136664,2057890,98143,2004499,123659,1164237,55.5,1125504,69.4,954654,45.5,936905,57.8,1114815,965100,135400,0,58267,915664,1081236,2723,396288,500378,57203,785,396049,482962,57111,783,897451,55.5,1125504,69.4,42.8,879794,54.3,1164237,337530,89.4,296701,78.6,135571,146115,14559,456,615810,163083,586674,1164118,65.1,954622,53.4,396274,500367,57196,785,2057759,115124,123938
Nevada,2783440,90367,116583,2392968,77690,2353080,98558,1342834,43.6,1315602,55.1,1072757,34.8,1061893,44.5,1469520,1143820,170100,0,93940,993500,1305528,0,431852,548600,92299,6,431793,537824,92270,6,980458,43.6,1315602,55.1,31.8,969623,40.6,1342834,391611,79,342263,69,164146,160494,17619,4,735524,148300,561209,1342802,51.2,1072750,40.9,431849,548598,92297,6,2392936,91271,106165
New York State,21959275,112880,142359,18589563,95559,18202879,118007,10372058,53.3,10092731,65.4,8613844,44.3,8504819,55.1,11537955,9219320,1202000,0,744285,7749387,10092161,3730,3432269,4462226,718585,764,3431568,4354297,718208,746,7895259,53.3,10092731,65.4,40.6,7786611,50.5,10372058,2709942,82.2,2412409,73.2,1163512,1110242,138238,417,5035069,152756,666211,10371100,61.8,8613532,51.4,3432157,4462127,718498,750,18588402,110822,130919
Ohio,11652845,99690,127898,9505550,81320,9314228,102230,5144102,44,5015230,55,4506343,38.6,4446519,48.8,6109545,4913000,630300,0,362285,4023361,5110173,9731,1816056,2338106,349258,2923,1815833,2278640,349134,2912,4157085,44,5015230,55,35.6,4097385,45,5144102,1662258,81.2,1553817,75.9,710448,773365,68355,1649,3207555,156747,569454,5143937,51.4,4506310,45.1,1816047,2338095,349245,2923,9505387,95047,116520
Oklahoma,3879105,98032,129100,2890367,73045,2846460,94733,1608059,40.6,1579115,52.6,1300900,32.9,1286642,42.8,1975545,1688760,214800,0,80713,1351054,1458558,42,588310,633048,79518,24,588158,618984,79476,24,1221382,40.6,1579115,52.6,30.9,1207166,40.2,1608059,515965,81.2,440730,69.4,232780,193711,14231,8,952592,149983,610756,1607934,48.4,1300871,39.1,588298,633039,79510,24,2890216,86918,116657
Oregon,4898945,116151,146186,3772596,89446,3676875,109719,2193956,52,2119124,63.2,1724172,40.9,1702313,50.8,2524665,2080980,293300,0,130650,1564740,2075165,2041,686766,907223,129806,377,685564,887023,129355,371,1594366,52,2119124,63.2,37.8,1572958,46.9,2193956,637345,83.2,584215,76.3,266352,279507,38166,190,1176802,153613,639482,2191594,60.1,1724162,47.3,686764,907216,129805,377,3770211,103357,134300
Pennsylvania,14563035,113756,143233,11975701,93546,11746453,115531,7185382,56.1,7007881,68.9,5234840,40.9,5183366,51,7337655,6202680,1022700,0,440536,5090345,6444509,311,2080416,2709134,445042,248,2079611,2658691,444822,242,4789798,56.1,7007881,68.9,37.4,4738544,46.6,7185382,2324600,97.1,1815150,75.8,854751,898507,61756,136,4096375,171156,608476,7184069,64.8,5234473,47.2,2080307,2708908,445010,248,11974060,108054,131417
Puerto Rico,3798800,118947,144939,2461308,77068,2406839,91830,1502202,47,1458422,55.6,1059589,33.2,1047301,40,1964040,1644760,190000,0,78079,1005565,1377379,285,394297,587003,78269,20,394197,574914,78170,20,981320,47,1458422,55.6,30.7,969131,37,1502202,422711,77.9,348245,64.1,162627,172730,12885,3,754467,138963,699688,1501704,55.1,1059502,38.8,394283,586964,78235,20,2460757,90225,139285
Rhode Island,1435295,135487,167897,1104926,104301,1077265,126016,617140,58.3,597071,69.8,517581,48.9,510491,59.7,795015,578980,61300,0,41864,452436,610594,32,203280,272534,41758,9,203253,265488,41741,9,475823,58.3,597071,69.8,44.9,468750,54.8,617140,174133,93.1,162127,86.7,74428,82367,5329,3,332338,177677,767349,617084,66.5,517574,55.8,203276,272532,41757,9,1104867,119124,154750
Republic of Palau,24600,137376,176129,22440,125314,22440,160664,12985,72.5,12984,93,10946,61.1,10946,78.4,0,20800,3800,0,1305,21134,1,0,9621,20,1305,0,9621,20,1305,0,9641,72.5,12984,93,53.8,9641,69,12985,1610,52.9,1545,50.8,1386,8,151,0,2962,97306,808147,12985,84.9,10946,71.6,9621,20,1305,0,22440,146743,160868
South Carolina,4949735,96135,122593,3637768,70654,3583562,88756,2034116,39.5,1996630,49.5,1667179,32.4,1650147,40.9,2549235,2098700,301800,0,117950,1488504,2030253,1061,637205,914501,115262,211,636296,898665,114975,211,1551917,39.5,1996630,49.5,30.1,1535172,38,2034116,766190,81.8,664394,70.9,279861,363359,21029,145,1413397,150839,528241,2032289,46,1666692,37.7,637136,914105,115240,211,3635440,82250,111986
South Dakota,929225,105038,139198,759073,85804,745767,111716,416205,47,407158,61,367320,41.5,363027,54.4,452205,419820,57200,0,21480,344486,393094,13,162700,182919,21690,11,162662,178672,21682,11,345630,47,407158,61,39.1,341345,51.1,416205,136592,89.9,126904,83.6,65677,58077,3145,5,256877,169142,611852,416187,56.4,367317,49.8,162699,182917,21690,11,759053,102839,125894
Tennessee,5934750,86903,111574,4678737,68511,4613433,86733,2589957,37.9,2544101,47.8,2085654,30.5,2067062,38.9,3099330,2477020,358400,0,131660,1983333,2555879,7865,855977,1099098,128262,2317,855761,1080861,128129,2311,1957392,37.9,2544101,47.8,28.7,1938933,36.5,2589957,869918,76.1,760561,66.5,385506,350276,23322,1457,1658588,145058,519047,2589552,44.4,2085572,35.7,855963,1099063,128229,2317,4678257,80168,101700
Texas,29372305,101298,136008,21926464,75619,21405398,99117,12273765,42.3,11980423,55.5,9755603,33.6,9518485,44.1,15520245,12043960,1808100,0,803842,9398788,11723033,801,4028964,4939505,786487,647,3931036,4819446,767371,631,8971746,42.3,11980423,55.5,30.9,8838965,40.9,12273765,3016892,80.8,2592064,69.4,1070496,1312426,208970,172,5617584,150435,786569,12270083,50.9,9753652,40.5,4028158,4938517,786330,647,21922146,90959,121871
